genres,title,item_id,anio_lanzamiento
strategy,Worms Clan Wars,233840,2013
"free to play,massively multiplayer,simulation",War Thunder - Steam Pack,244230,2013
"indie,strategy",Space Hulk - Kraken Skin DLC,246562,2013
"simulation,strategy",Tropico 4: Propaganda!,205637,2013
simulation,Cities in Motion 2: Metro Madness,225426,2013
"indie,strategy",Space Hulk,242570,2013
"action,indie",Electronic Super Joy,244870,2013
simulation,Train Simulator: Great Eastern Main Line London-Ipswich Route Add-On,222593,2013
"action,adventure",Remember Me: Combo Lab Pack DLC,237800,2013
simulation,Train Simulator: Powerhaul Class 66 V2.0 Loco Add-On,222594,2013
action,LOST PLANET® 3,226720,2013
strategy,PixelJunk™ Monsters Ultimate,243780,2013
"action,adventure",Saints Row IV: Presidential Pack,247292,2013
"action,adventure",Saints Row IV: Grass Roots Pack,247291,2013
action,LOST PLANET® 3 - Hi Res Movies,250810,2013
"casual,strategy",Sid Meier’s Ace Patrol,244070,2013
"action,indie,strategy",Primal Carnage - Dinobuster Skin,235140,2013
"indie,simulation,strategy",Skyward Collapse: Nihon no Mura,238900,2013
strategy,CoH 2 - German Commander: Fortified Armor Doctrine,231459,2013
strategy,COH 2 - Soviet Skin: (H) Four Color Belorussian Front,231482,2013
"action,indie",Assault Android Cactus,250110,2015
"adventure,indie",Shelter,244710,2013
"adventure,indie",Lilly Looking Through,250030,2013
indie,Protocell,246340,2013
"free to play,massively multiplayer,rpg",Ragnarok Online 2 - Emperium Warrior Pack,247190,2013
"action,indie",BeatBlasters III,246800,2014
"casual,indie",Perfection.,246360,2013
"action,casual,indie",TorqueL prototype,246640,2013
simulation,Train Simulator: BR DP1 Deltic Loco Add-On,222595,2013
"action,free to play",America's Army: Proving Grounds,203290,2015
simulation,Cities in Motion 2: Lofty Landmarks,225430,2013
"casual,indie,simulation,strategy",Game Dev Tycoon,239820,2013
"action,strategy",Guardians of Middle-earth: The Tactician Bundle,111915,2013
"action,strategy",Guardians of Middle-earth: The Defender Bundle,111914,2013
"action,strategy",Guardians of Middle-earth: The Enchanter Bundle,111916,2013
"action,strategy",Guardians of Middle-earth: The Warrior Bundle,111912,2013
"action,strategy",Guardians of Middle-earth: The Striker Bundle,111913,2013
"action,strategy",Guardians of Middle-earth: The Company of Dwarves Bundle,111911,2013
"action,strategy",Guardians of Middle-earth,111900,2013
"action,strategy",Guardians of Middle-earth: Smaug's Treasure,111910,2013
"action,adventure,indie,rpg,early access",Delver,249630,2013
"racing,sports",GRID 2 - Demolition Derby Pack,221169,2013
"action,rpg",Borderlands 2: Mechromancer Beatmaster Pack,224140,2013
"action,rpg",Borderlands 2: Gunzerker Greasy Grunt Pack,224141,2013
"action,rpg",Borderlands 2: Siren Learned Warrior Pack,224143,2013
"action,rpg",Borderlands 2: Commando Devilish Good Looks Pack,224144,2013
"action,rpg",Borderlands 2 : Assassin Cl0ckw0rk Pack,224145,2013
"action,rpg",Borderlands 2: Ultimate Vault Hunter Upgrade Pack 2,224180,2013
"action,rpg",Borderlands 2: Psycho Party Pack,224142,2013
"action,adventure,indie",Outlast,238320,2013
"adventure,indie",MirrorMoon EP,231310,2013
"adventure,casual",Castle of Illusion,227600,2013
"indie,rpg,strategy",Fallen Enchantress: Legendary Heroes - Loot Pack DLC,233592,2013
simulation,Train Simulator: Union Pacific Heritage SD70ACes Loco Add-On,222596,2013
"action,indie,strategy",Sanctum 2: Ruins of Brightholme,237050,2013
simulation,Rise of Flight: Ace Pack,244060,2013
"action,adventure",Saints Row IV - Wild West Pack,247294,2013
strategy,COH 2 - German Skin: (H) Voronezh Improvised Pattern,249102,2013
"adventure,indie,rpg",Winter Voices Episode 6: Falls,255140,2013
simulation,Cities in Motion 2: Back to the Past,225431,2013
"action,free to play,massively multiplayer,rpg",Dragon's Prophet,259020,2013
strategy,"Magic 2014 ""Sword of the Samurai"" Foil Conversion",215860,2013
"racing,simulation,sports",MotoGP™13: Red Bull Rookies Cup,240611,2013
strategy,"Magic 2014 ""Sword of the Samurai"" Deck Key",215859,2013
strategy,"Magic 2014 ""Sylvan Might"" Foil Conversion",215858,2013
strategy,"Magic 2014 ""Hall of Champions"" Foil Conversion",215856,2013
strategy,"Magic 2014 ""Sylvan Might"" Deck Key",215857,2013
strategy,"Magic 2014 ""Hall of Champions"" Deck Key",215855,2013
strategy,"Magic 2014 ""Lord of Darkness"" Foil Conversion",215854,2013
strategy,"Magic 2014 ""Lord of Darkness"" Deck Key",215853,2013
strategy,"Magic 2014 ""Dodge and Burn"" Foil Conversion",215852,2013
strategy,"Magic 2014 ""Dodge and Burn"" Deck Key",215851,2013
simulation,A-Train 8,249930,2008
strategy,Magic 2014 - Expansion Pack,215850,2013
"casual,indie,strategy",Ironclad Tactics,226960,2013
"adventure,casual,indie",InFlux,246980,2013
simulation,Train Simulator: Southern Pacific GP20 Loco Add-On,222571,2013
"adventure,indie",Cognition: An Erica Reed Thriller,242780,2013
"action,adventure,casual,indie",Foul Play,244810,2013
simulation,DCS: Mi-8 MTV2 Magnificent Eight,249310,2013
"simulation,strategy",Tropico 4: The Academy,205635,2013
"indie,simulation",Euro Truck Simulator 2 - Going East!,227310,2013
adventure,1953 - KGB Unleashed,248490,2013
"action,indie",Omegalodon,248350,2012
"action,adventure,indie",Angry Video Game Nerd Adventures,237740,2013
"action,adventure",Marlow Briggs and the Mask of Death,249680,2013
"action,adventure",Portal 2 Sixense Perceptual Pack,247120,2013
"action,adventure,indie",Doorways: Prelude,248470,2013
indie,Hacker Evolution Duality: Inception Part 3 DLC,211992,2013
"action,racing,simulation,sports",Urban Trial Freestyle,243450,2013
"simulation,strategy",Europa Universalis IV: American Dream,241364,2013
action,PAC-MAN™ Championship Edition DX+,236450,2013
"action,strategy",Leviathan Warships: Commonwealth Unit Pack,245030,2013
"simulation,strategy",Europa Universalis IV: National Monuments II,241368,2013
strategy,Company of Heroes 2 - Case Blue Mission Pack,231479,2013
strategy,COH 2 - German Skin: (M) Voronezh Improvised Pattern,249101,2013
"action,adventure,casual,strategy",Scribblenauts Unmasked: A DC Comics Adventure,249870,2013
strategy,COH 2 - German Skin: (L) Voronezh Improvised Pattern,249100,2013
action,Alien Rage - Unlimited,217920,2013
"action,indie",Steel Storm: Forgotten Prison DLC,202652,2013
action,Pac-Man Championship Edition DX+: Big Eater Course,246251,2013
action,Pac-Man Championship Edition DX+: Championship III &amp; Highway II Courses,246252,2013
action,Pac-Man Championship Edition DX+: Dig Dug Skin,246253,2013
action,Pac-Man Championship Edition DX+: Pac is Back Skin,246255,2013
action,Pac-Man Championship Edition DX+: Pac Steps BGM,246256,2013
strategy,COH 2 - German Skin: (H) Case Blue Summer Pattern,249105,2013
action,Pac-Man Championship Edition DX+: Mountain Course,246250,2013
action,Pac-Man Championship Edition DX+: Reentrance BGM,246257,2013
simulation,Train Simulator: DB BR424 EMU Add-On,222602,2013
action,Pac-Man Championship Edition DX+: Rally-X Skin,246254,2013
"action,adventure",Saints Row IV: Volition Comics Pack,238301,2013
"action,indie",Escape Goat,251370,2012
"casual,simulation",Farming Simulator 2013 - Classics,245220,2013
"casual,simulation",Farming Simulator 2013 - Official Expansion (Titanium),246050,2013
"casual,simulation",Farming Simulator 2013 Titanium Edition,220260,2013
simulation,Train Simulator: DB BR420 EMU Add-On,222599,2013
"free to play,indie,simulation,sports,early access",SNOW,244930,2013
"adventure,indie",The Stanley Parable,221910,2013
"indie,simulation,sports,strategy",Lords of Football: United States,230692,2013
action,Painkiller Hell &amp; Damnation: Demonic Vacation at the Blood Sea,229290,2013
"casual,indie",Soundodger+,247140,2013
adventure,The Wolf Among Us,250320,2013
"action,indie,rpg",Iesabel,248710,2013
"simulation,strategy",Knights and Merchants,253900,2013
"adventure,strategy",Aarklash: Legacy Demo,257140,2013
"adventure,indie",Eleusis,251310,2013
"casual,indie,simulation",Bridge Constructor,250460,2013
"casual,indie",Bad Hotel,231720,2013
"action,indie",140,242820,2013
simulation,Train Simulator: Pacific Surfliner® LA - San Diego Route,222606,2013
simulation,Train Simulator: BNSF ES44DC Loco Add-On,222611,2013
"adventure,indie",Face Noir,244690,2013
"action,indie",Dark Matter,251410,2013
"simulation,strategy",Tropico 4: Apocalypse,205636,2013
"action,adventure,indie",Super Amazing Wagon Adventure,250500,2013
"action,adventure,rpg,simulation,strategy",Space Rangers HD: A War Apart,214730,2013
adventure,Secret Files: Sam Peters,257220,2013
"adventure,indie",Goodbye Deponia,241910,2013
"adventure,indie",Knytt Underground,248190,2013
"action,rpg",Deus Ex: Human Revolution - Director's Cut,238010,2013
"action,adventure,indie",Contagion,238430,2013
"action,indie",Blood of the Werewolf,260250,2014
"action,indie,rpg",FORCED Original Soundtrack,260880,2013
"action,adventure,indie",Slender: The Arrival,252330,2013
"action,indie",Guncraft: Horror SFX Pack,259121,2013
"action,indie",Guncraft: Sci-Fi SFX Pack,259120,2013
"action,adventure",Saints Row IV - The Super Saints Pack,247298,2013
"action,adventure,indie",Master Reboot,251850,2013
"action,adventure",Saints Row IV: Brady Games Pack,247290,2013
"action,adventure",Alone in the Dark: The New Nightmare,259190,2013
"action,adventure",Alone in the Dark,259170,2008
action,The Typing of The Dead: Overkill,246580,2013
"action,adventure",Deadly Premonition: The Director's Cut,247660,2013
action,Heat Wave DLC - Abby's pack,258540,2013
strategy,Civilization V - Scrambled Nations Map Pack,235585,2013
"action,rpg,simulation",State of Decay,241540,2013
"action,indie",Gentlemen!,253570,2013
action,Call of Duty: Ghosts - Season Pass,255160,2013
"casual,strategy",Sid Meier’s Ace Patrol: Pacific Skies,244090,2013
"action,indie",King Arthur's Gold,219830,2013
"casual,simulation",Rocksmith® 2014 – Hotei - “Bambina”,258355,2013
strategy,Age of Empires II HD: The Forgotten,239550,2013
"adventure,casual,indie,rpg,strategy",Desktop Dungeons,226620,2013
"action,indie",A Walk in the Dark,248730,2013
"adventure,casual,indie,rpg,strategy",Desktop Dungeons Soundtrack,261420,2013
"adventure,casual,indie,rpg,strategy",Desktop Dungeons Goatperson DLC,261421,2013
"simulation,strategy",Adventure Park,256050,2013
"action,indie,rpg",Risk of Rain,248820,2013
"indie,rpg,simulation,strategy",Long Live The Queen,251990,2013
"indie,rpg,simulation,early access",Project Zomboid,108600,2013
"casual,indie,simulation,strategy",Reach for the Sun,248290,2013
"action,indie,strategy",Poöf,243280,2013
"action,adventure,indie",Rain Blood Chronicles: Mirage,240660,2013
"indie,simulation",Hardcore Package Part 1 / for Hacker Evolution,259230,2013
"action,indie,racing",Zombie Driver HD Burning Garden of Slaughter,220825,2013
action,PixelJunk™ Shooter,255870,2013
strategy,XCOM: Enemy Within,225340,2013
"action,adventure",Batman: Arkham Origins - New Millennium Skins Pack,237620,2013
"free to play,simulation",Pinball Arcade: Season Two Pro Pack,238273,2013
"free to play,simulation",Pinball Arcade: Season One Pro Pack,238271,2013
"free to play,simulation",Pinball Arcade: Season Two Table Pack,238272,2013
"free to play,simulation",Pinball Arcade: Season One Table Pack,238270,2013
"casual,simulation",Rocksmith® 2014 – Alice in Chains - “Man in the Box”,258358,2013
"action,adventure,indie,rpg,early access",Vox,252770,2013
"casual,simulation",Rocksmith® 2014 – Alice in Chains - “Would?”,258359,2013
"casual,simulation",Rocksmith® 2014 – Alice in Chains - “Hollow”,258360,2013
"casual,simulation",Rocksmith® 2014 – Alice in Chains - “Check My Brain”,258362,2013
"casual,simulation",Rocksmith® 2014 – Alice in Chains - “Them Bones”,258361,2013
"adventure,indie,rpg",99 Spirits - Art Book + Music Collection,262141,2013
strategy,Company of Heroes 2 - Victory at Stalingrad Mission Pack,231480,2013
strategy,CoH 2 - Soviet Skin: (M) Two Tone Don Front,249110,2013
"casual,simulation",Rocksmith® 2014 – Radiohead - “My Iron Lung”,258382,2013
"action,adventure,casual,indie",Bloody Trapland,257750,2013
simulation,World Basketball Tycoon,260510,2013
"action,indie,strategy",Signal Ops,257770,2013
simulation,Bridge It +,248370,2013
"rpg,simulation,strategy",Expansion - Crusader Kings II: Sons of Abraham,226667,2013
"casual,simulation",Rocksmith® 2014 – Alice in Chains Song Pack,258363,2013
"casual,simulation",Rocksmith® 2014 – Green Day - “Basket Case”,258365,2013
"action,indie,rpg,early access",Kingdoms Rise,248630,2013
"casual,simulation",Rocksmith® 2014 – Green Day - “Oh Love”,258364,2013
"casual,simulation",Rocksmith® 2014 – Green Day Song Pack,258367,2013
"casual,simulation",Rocksmith® 2014 – Green Day - “American Idiot”,258366,2013
"casual,simulation",Rocksmith® 2014 – B’z - “iuice”,258369,2013
"casual,simulation",Rocksmith® 2014 – B’z - “Giri Giri chop”,258370,2013
"casual,simulation","Rocksmith® 2014 – B’z - “Easy Come, Easy Go!”",258368,2013
"casual,simulation",Rocksmith® 2014 – B’z Song Pack,258371,2013
"action,indie,rpg",Ring Runner: Flight of the Sages,258010,2013
"action,indie,sports",Beast Boxing Turbo,259490,2013
"action,adventure",Assassin’s Creed® IV Black Flag™ - Season Pass,260950,2013
"action,adventure",Assassin’s Creed® IV Black Flag™ - Time saver: Resources Pack,260470,2013
"action,adventure",Assassin’s Creed® IV Black Flag™ - Death Vessel Pack,260473,2013
"action,adventure",Assassin’s Creed® IV Black Flag™,242050,2013
"action,indie",Gimbal,252070,2013
"action,adventure",Assassin’s Creed® IV Black Flag™ - Crusader &amp; Florentine Pack,260474,2013
"adventure,indie",Montague's Mount,258950,2013
"action,adventure",Assassin’s Creed® IV Black Flag™ - Time saver: Technology Pack,264750,2013
"action,adventure",Assassin’s Creed® IV Black Flag™ - Time saver: Activities Pack,260472,2013
action,The Bureau: XCOM Declassified - Hangar 6 R&amp;D,66002,2013
"animation &amp,modeling,design &amp,illustration,education,software training,utilities",Axis Game Factory's AGFPRO v3,253370,2013
"action,adventure",Assassin’s Creed® IV Black Flag™ - Time saver: Collectibles Pack,260471,2013
"action,indie",Eryi's Action,261700,2013
indie,9.03m,263100,2013
"adventure,casual,indie",The Mysterious Cities of Gold,261940,2013
simulation,Train Simulator: MRCE ES 64 U2 'Taurus' Loco Add-On,222608,2013
simulation,Train Simulator: GWR 56XX Loco Add-On,208370,2013
"action,indie",Mutant Mudds Deluxe,247370,2013
"adventure,indie",The Shivah,252370,2013
"simulation,strategy",Rise of Venice - Beyond the Sea,260860,2013
"action,adventure",Saints Row IV - Hey Ash Whatcha Playin? Pack,247302,2013
"indie,strategy",Space Hulk - Defilement of Honour Campaign,246564,2013
simulation,Bus-Simulator 2012,253770,2012
"adventure,indie",Finding Teddy,259600,2013
"adventure,free to play,indie",Finding Teddy Soundtrack,267660,2013
casual,Alex Hunter - Lord of the Mind Platinum Edition,266940,2013
"action,adventure",Batman: Arkham Origins - Initiation,237619,2013
"indie,simulation,strategy,early access",Maia,252250,2013
"casual,simulation",Rocksmith® 2014 – The Who Song Pack,258377,2013
"casual,simulation",Rocksmith® 2014 – The Who - “Baba O’Riley”,258372,2013
"casual,simulation",Rocksmith® 2014 – The Who - “Behind Blue Eyes”,258373,2013
"casual,simulation",Rocksmith® 2014 – The Who - “Who Are You”,258374,2013
"casual,simulation",Rocksmith® 2014 – The Who - “Pinball Wizard”,258375,2013
"casual,simulation",Rocksmith® 2014 – ONE OK ROCK - “NO SCARED”,258384,2013
"casual,simulation",Rocksmith® 2014 – ONE OK ROCK - “Liar”,258385,2013
"casual,simulation",Rocksmith® 2014 – The Who - “The Seeker”,258376,2013
simulation,The Holiday Express,222621,2013
"design &amp,illustration",LogoMaker 4,257610,2013
adventure,Broken Sword 5 - the Serpent's Curse,262940,2014
"action,adventure,indie",Darkout,257050,2013
"adventure,indie",The Cat Lady,253110,2012
"action,indie",Savant - Ascent,259530,2013
"casual,indie",Oozi: Earth Adventure,257990,2013
"indie,strategy",Dominions 4: Thrones of Ascension,259060,2013
"action,adventure,free to play,massively multiplayer,rpg",Neverwinter,109600,2013
"animation &amp,modeling,education,utilities,web publishing",Clickteam Fusion 2.5,248170,2013
"action,indie",Wooden Sen'SeY,259830,2013
"action,adventure,indie,rpg",Ravensword: Shadowlands,253410,2013
"action,rpg",DARK - Cult of the Dead DLC,249170,2013
"action,indie,sports",Shufflepuck Cantina Deluxe,259510,2013
indie,Particulars,259470,2014
"casual,simulation",Rocksmith® 2014 – Disturbed Song Pack,258391,2013
"casual,simulation",Rocksmith® 2014 – Disturbed - “Down with the Sickness”,258388,2013
"adventure,free to play,indie,massively multiplayer,rpg,strategy",King’s Bounty: Legions,235400,2013
"casual,simulation",Rocksmith® 2014 – Disturbed - “Voices”,258390,2013
"indie,simulation",Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack,266930,2013
"action,adventure",Assassin’s Creed®IV Black Flag™ - MP Character Pack: Blackbeard's Wrath,264802,2013
action,Velocity®Ultra - Soundtrack,267880,2013
"action,indie,strategy",Sanctum 2: The Last Stand,237090,2013
"action,adventure,rpg",FATE,246840,2005
action,Call of Duty®: Ghosts - Festive Personalization Pack,268100,2013
"action,indie,strategy",Not The Robots,257120,2013
strategy,Spaceforce Constellations,263800,2013
"adventure,indie,rpg",Tales of Maj'Eyal,259680,2012
action,Painkiller Hell &amp; Damnation: City Critters,229310,2013
"action,adventure",Marc Eckō's Getting Up: Contents Under Pressure,260190,2006
"free to play,simulation",Pinball Arcade: Season Three Pro Pack,268281,2013
"free to play,simulation",Pinball Arcade: Season Three Pack,268280,2013
"action,rpg",PAYDAY 2: The Charlie Santa Heist,271110,2013
"action,adventure",Alan Wake Bonus Materials,268560,2013
"casual,indie",Episode 3 - The Fisherman and His Wife,261392,2014
"action,rpg",Magicka: The Ninth Element Novel,266740,2013
"animation &amp,modeling",RaySupreme 3D,262650,2013
simulation,Airport Simulator 2014,267600,2013
simulation,Woodcutter Simulator 2013,267610,2013
"action,adventure,indie",Master Reboot Art Book and Soundtrack,271100,2013
"action,rpg",PAYDAY 2: A Merry Payday Christmas Soundtrack,267381,2013
"simulation,strategy",Europa Universalis IV: Songs of Yuletide,241373,2013
"free to play,massively multiplayer,rpg",Ragnarok Online 2 - Santa Claus Essentials Pack,265090,2013
"action,indie",Guncraft: Holiday Block Pack,259122,2013
"rpg,simulation,strategy",Crusader Kings II: Songs of Yuletide,226671,2013
"casual,indie",Episode 4 - Puss in Boots,261393,2014
"casual,indie",Episode 8 - Beauty and the Beast,261397,2014
"casual,indie",Episode 5 - The Girl Without Hands,261394,2014
"casual,indie",Episode 7 - The Devil and His Three Golden Hairs,261396,2014
"casual,indie",Episode 6 - Godfather Death,261395,2014
"casual,indie",Episode 9 - The Master Thief,261398,2014
"casual,indie",Episode 10 - The Singing Bone,261399,2014
"casual,simulation",Rocksmith® 2014 – Aerosmith Song Pack,271415,2014
strategy,Magic 2014 - Deck Pack 3,215912,2014
action,Cold War,260650,2005
"action,adventure,indie,rpg",CONSORTIUM,264240,2014
"action,indie,sports",Nidhogg,94400,2014
"indie,strategy",Galcon Legends,201040,2014
"action,indie,strategy",Awesomenauts - SUSI Announcer,256510,2014
"adventure,indie,strategy",Sound of the Human Tanks,271010,2012
"action,adventure",Saints Row IV - Stone Age Pack,247305,2014
"action,adventure",Assassin’s Creed® Liberation HD,260210,2014
simulation,Train Simulator: West Coast Main Line Over Shap Route Add-On,222613,2014
"action,adventure",Assassin’s Creed® Liberation HD - Bonus Pack,272700,2014
"indie,rpg",Loren The Amazon Princess - The Castle Of N'Mar DLC,270700,2014
action,Guilty Gear Isuka,267900,2006
"rpg,strategy",SpellForce 2 - Demons of the Past,245050,2014
"action,indie",Humans Must Answer,261740,2014
"action,adventure,free to play,indie",Estranged: Act I,261820,2014
"rpg,strategy",SpellForce 2 - Demons of the Past - Soundtrack,273290,2014
"action,casual,indie,simulation",Luxuria Superbia,269150,2013
"action,indie,strategy",Insurgency,222880,2014
"action,indie",Blast Em!,257630,2014
"adventure,indie,rpg",Paper Sorcerer,263560,2013
"action,indie",Blast Em! Source Code,272690,2014
"action,adventure,indie,massively multiplayer,rpg",Hero Siege,269210,2014
"adventure,casual,indie",Broken Age - Soundtrack,271950,2014
"action,indie,rpg",Our Darker Purpose,262790,2014
"indie,massively multiplayer,strategy",The Castle Doctrine,249570,2014
"indie,rpg",Saturday Morning RPG,263320,2014
utilities,Star Swarm Stress Test,267130,2014
"casual,indie,strategy",Tribloos 2,271550,2013
simulation,Train Simulator: Amtrak P42 DC 'Empire Builder' Loco Add-On,222627,2014
"rpg,strategy",King's Bounty: Warriors of the North - Ice and Fire,203358,2014
"indie,strategy",rymdkapsel,253790,2014
"adventure,indie",Serena,272060,2014
"action,rpg",PAYDAY 2: Gage Weapon Pack #02,275590,2014
"action,adventure,indie",Octodad: Dadliest Catch,224480,2014
"design &amp,illustration,web publishing",RPG Maker VX Ace - Inspirational Vol. 2,271962,2014
"action,indie",Aqua Kitty - Milk Mine Defender,263880,2014
"casual,simulation","Rocksmith® 2014 – R.E.M. - “What’s the Frequency, Kenneth?”",271426,2014
"action,casual,indie",Waves Soundtrack,232990,2014
"casual,indie,rpg,strategy",Sword of the Stars: The Pit Soundtrack,267720,2014
"indie,strategy",Sentinel 3: Homeworld,275350,2010
"casual,simulation",Rocksmith® 2014 – R.E.M. - “Everybody Hurts”,271428,2014
"action,indie",Aces Wild: Manic Brawling Action!,269230,2013
"casual,simulation",Rocksmith® 2014 – R.E.M. - “The One I Love”,271429,2014
"casual,simulation",Rocksmith® 2014 – R.E.M. - “Überlin”,271427,2014
"casual,simulation","Rocksmith® 2014 – R.E.M. - “Shiny, Happy People”",271430,2014
"casual,simulation",Rocksmith® 2014 – STRAIGHTENER - “ROCKSTEADY”,271433,2014
"casual,simulation",Rocksmith® 2014 – STRAIGHTENER - “From Noon Till Dawn”,271432,2014
"casual,simulation",Rocksmith® 2014 – R.E.M. Song Pack,271431,2014
"adventure,rpg,strategy",Agarest: Generations of War,237890,2014
"education,software training",GTGD S1: More Than a Gamer,269570,2014
action,BlazBlue: Calamity Trigger,263300,2014
casual,Kingdom Tales,276440,2014
"rpg,strategy",Disciples III: Reincarnation,10270,2014
"adventure,indie",NaissanceE,265690,2014
simulation,Train Simulator: Canadian Mountain Passes: Revelstoke-Lake Louise,222582,2014
"rpg,simulation,strategy",Crusader Kings II: Saxon Unit Pack,226672,2014
"rpg,simulation,strategy",Crusader Kings II: Finno-Ugric Unit Pack,226673,2014
"casual,free to play,indie",The Plan,250600,2013
"action,adventure,casual,racing",LocoCycle,224040,2014
"adventure,indie,rpg",Eschalon: Book III,257870,2014
"adventure,casual,indie",Girls Like Robots,263460,2014
action,METAL SLUG 3,250180,2014
"adventure,casual,indie",Cube &amp; Star: An Arbitrary Love,261960,2014
"adventure,casual,indie",Card City Nights,271820,2014
"casual,simulation",Rocksmith® 2014 – The Birthday - “stupid”,271440,2014
"casual,simulation",Rocksmith® 2014 – RIZE - “PARADOX Taiso”,271438,2014
"casual,simulation",Rocksmith® 2014 – ACIDMAN - “Shinsekai”,271439,2014
"casual,simulation",Rocksmith® 2014 – Rise Against - “Prayer of the Refugee”,271449,2014
"casual,simulation",Rocksmith® 2014 – Rise Against - “Give It All”,271450,2014
"casual,simulation",Rocksmith® 2014 – Rise Against - “Make It Stop (September’s Children)”,271451,2014
"indie,simulation,strategy",Banished,242920,2014
"action,indie",Ikaruga,253750,2014
"casual,simulation",Rocksmith® 2014 – Rise Against - “Satellite”,271453,2014
"casual,simulation",Rocksmith® 2014 – Rise Against Song Pack,271454,2014
"casual,simulation",Rocksmith® 2014 – Rise Against - “Swing Life Away”,271452,2014
"casual,strategy",7 Wonders of the Ancient World,275810,2014
"casual,strategy",7 Wonders: Magical Mystery Tour,275830,2014
"casual,indie,strategy",Hexcells,265890,2014
"casual,indie,strategy",Hexcells Plus,271900,2014
"indie,simulation",Scania Truck Driving Simulator,258760,2012
"action,rpg",PAYDAY 2: The Death Wish Update,284430,2014
"casual,animation &amp,modeling,audio production,utilities",MorphVOX - Special Effects Voices,277721,2014
action,Call of Duty®: Ghosts - Onslaught,259250,2014
"indie,rpg",The Yawhg,269030,2013
"simulation,strategy",Europa Universalis IV: Colonial British and French Unit pack,278711,2014
"casual,simulation",Rocksmith® 2014 – The Doors - “Light My Fire”,271445,2014
"casual,simulation",Rocksmith® 2014 – The Doors - “Riders on the Storm”,271446,2014
"casual,simulation",Rocksmith® 2014 – The Doors - “Roadhouse Blues”,271447,2014
"casual,simulation",Rocksmith® 2014 – The Doors Song Pack,271448,2014
"adventure,rpg",Epic Battle Fantasy 4,265610,2014
"action,adventure",Ultionus: A Tale of Petty Revenge,279160,2014
"action,adventure",Assassin's Creed Freedom Cry,277590,2014
"action,adventure",Castlevania: Lords of Shadow 2,239250,2014
"indie,rpg,strategy",Talisman - Character Pack #1 - Exorcist,258813,2014
"indie,rpg,strategy",Talisman: Digital Edition,247000,2014
"action,indie,rpg",Windforge,266170,2014
"action,simulation",Galactic Command Echo Squad SE - Demo,285690,2014
action,PAC-MAN MUSEUM™ - Ms. PAC-MAN™ DLC,255750,2014
simulation,Towtruck Simulator 2015,273760,2014
"simulation,strategy",Cities in Motion 2: European Cities,283530,2014
"indie,rpg,strategy",Talisman - Complete Runestone Deck,258812,2014
"adventure,indie",Dominique Pamplemousse,270310,2014
"casual,simulation",Rocksmith® 2014 – Heart - “Crazy On You”,271455,2014
"casual,simulation",Rocksmith® 2014 – Halestorm - “Love Bites (So Do I)”,271456,2014
"adventure,indie",Dominique Pamplemousse: Soundtrack &amp; Sheet Music,285550,2014
"casual,indie,simulation,strategy",Eets Munchies,214550,2014
"adventure,indie",1954 Alcatraz,255280,2014
"action,indie",TowerFall Ascension,251470,2014
"casual,simulation",Rocksmith® 2014 – Flyleaf - “All Around Me”,271457,2014
"action,indie,rpg",Dark Shadows - Army of Evil,280640,2014
"action,casual,indie",Constant C,251510,2014
"indie,strategy",Space Hulk - Space Wolves Chapter,274430,2014
"action,free to play,massively multiplayer,rpg",C9: Premium Package,256230,2014
"animation &amp,modeling,web publishing",ComiPo! Casual Wear,283550,2014
"animation &amp,modeling,web publishing",ComiPo! Swim Wear,283551,2014
"action,free to play,massively multiplayer,rpg",C9: Steam Beginners Package,284700,2014
"animation &amp,modeling,web publishing",ComiPo! Summer Uniform &amp; Sportswear,283552,2014
"audio production,utilities",Batch Converter Plugin,281100,2014
"casual,indie,strategy",Braveland,285800,2014
"casual,indie",LYNE,266010,2014
"adventure,casual,indie,rpg,strategy",Alpha Kimori™ 1,265870,2014
"action,adventure,rpg",Deus Ex: The Fall,258180,2014
"action,indie,simulation",LUFTRAUSERS,233150,2014
"action,adventure,indie",Ku: Shroud of the Morrigan,270330,2014
"action,indie",Danmaku Unlimited 2,280560,2014
"casual,simulation",Rocksmith® 2014 – A Day To Remember - “All I Want”,271460,2014
action,BioShock Infinite: Burial at Sea - Episode Two,214932,2014
"casual,simulation",Rocksmith® 2014 – A Day To Remember - “It’s Complicated”,271458,2014
"casual,simulation",Rocksmith® 2014 – A Day To Remember - “The Downfall of Us All”,271459,2014
simulation,Train Simulator: DB BR 145 Loco Add-On,222639,2014
"action,indie",Cloudbuilt,262390,2014
"indie,simulation,strategy",Influent,274980,2014
"indie,simulation,strategy",Influent DLC - Deutsch [Learn German],286970,2014
"indie,simulation,strategy",Influent DLC - 한국어 [Learn Korean],286971,2014
"indie,simulation,strategy",Influent DLC - Latina [Learn Latin],286972,2014
"indie,simulation,strategy",Influent DLC - български [Learn Bulgarian],286960,2014
"indie,simulation,strategy",Influent DLC - Español [Learn Spanish],286964,2014
"indie,simulation,strategy",Influent DLC - 普通话 [Learn Mandarin Chinese],286961,2014
"indie,simulation,strategy",Influent DLC - English [Learn English],286962,2014
"indie,simulation,strategy",Influent DLC - 日本語 [Learn Japanese],286966,2014
"indie,simulation,strategy",Influent DLC - Français [Learn French],286963,2014
