,genres,title,tags,specs,price,early_access,item_id,developer,anio_lanzamiento
4382,"action,adventure,free to play,rpg,simulation",Endless Sky - High DPI,"free to play,simulation,rpg,adventure,action,space","single-player,downloadable content",Free to Play,False,404800,Michael Zahniser,2015
16650,strategy,Genghis Khan / 蒼き狼と白き牝鹿・ジンギスカン,strategy,"single-player,steam cloud",12.99,False,521650,"KOEI TECMO GAMES CO., LTD.",2017
18551,"action,adventure,free to play,massively multiplayer,rpg,strategy",Destiny of Ancient Kingdoms™,"free to play,massively multiplayer,rpg,action,adventure,strategy,nudity,mmorpg,anime","multi-player,online multi-player,mmo,steam trading cards,in-app purchases",Free To Play,False,497940,Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,2016
2908,"indie,massively multiplayer,rpg,strategy,early access",Dark Forester,"early access,rpg,massively multiplayer,strategy,indie","single-player,multi-player,mmo,cross-platform multiplayer,stats",8.99,True,349450,Morozov Sergey,2015
10895,"casual,rpg,simulation,strategy",Depopulation,"strategy,rpg,casual,simulation,violent",single-player,4.99,False,718210,Aweswan studios,2017
3542,"action,adventure,indie,rpg",Titanis,"action,adventure,indie,rpg","single-player,steam achievements,steam cloud",4.99,False,365060,Silver Goblet Games,2015
7992,"adventure,casual",Azada: Elementa Collector's Edition,"casual,adventure,hidden object",single-player,9.99,False,596400,ERS G Studios,2017
24742,"simulation,strategy",Industry Empire,"simulation,strategy,management,economy","single-player,steam achievements,steam trading cards,steam leaderboards",19.99,False,291930,Actalogic,2014
23518,"indie,sports,strategy",Frozen Cortex,"sports,strategy,tactical,indie,turn-based,turn-based strategy,multiplayer,singleplayer,great soundtrack,rogue-like,sci-fi","single-player,multi-player,cross-platform multiplayer,steam achievements,full controller support",24.99,False,237350,Mode 7,2015
25584,"design &amp,illustration,web publishing",RPG Maker VX Ace - Fantasy Hero Character Pack,"design & illustration,web publishing,rpgmaker,fantasy,rpg","single-player,downloadable content",14.99,False,265464,Degica,2014
12937,"action,strategy",ReSizE,"action,strategy,sci-fi,puzzle,physics,science,singleplayer,sexual content,fps","single-player,steam achievements,partial controller support",8.99,False,634150,Compot,2017
15613,"action,casual,indie,racing,simulation",Sphere Complex,"indie,casual,racing,action,simulation","single-player,online multi-player,partial controller support",4.99,False,550600,OC Game Studio,2016
8008,"action,adventure,indie,rpg",The Last Cargo,"action,adventure,indie,rpg,horror,survival horror,survival,atmospheric,top-down","single-player,steam trading cards",9.99,False,593560,Ehnenu,2017
22278,software training,Professor Teaches® OneNote 2013 &amp; 365,"software training,family friendly,software,education,psychological horror",,14.99,False,387790,Individual Software,2015
646,"action,indie,strategy",Orcs Must Die! - Artifacts of Power,"strategy,action,indie","single-player,downloadable content,steam achievements,partial controller support,stats,steam leaderboards",1.99,False,102622,Robot Entertainment,2011
2712,rpg,FINAL FANTASY® XIII-2,"jrpg,rpg,fantasy,singleplayer,female protagonist,great soundtrack,story rich,anime,adventure,time travel,sci-fi,action,third person,open world,action rpg,cinematic,turn-based,linear,atmospheric,turn-based combat","single-player,steam achievements,steam trading cards,partial controller support,steam cloud",19.99,False,292140,Square Enix,2014
11404,"action,casual,indie",Dungeon's Barrage,"action,indie,casual",single-player,0.99,False,757700,Jonathan Rocha,2017
8575,"indie,racing",Dumbass Drivers!,"indie,racing","single-player,steam achievements,steam trading cards,partial controller support",1.99,False,597040,Screen 7,2017
9209,"casual,indie",Indie Friends Pack,"indie,casual","single-player,multi-player,online multi-player,local multi-player,shared/split screen,downloadable content,steam achievements,full controller support,steam trading cards,steam leaderboards",2.99,False,667750,WeirdBeard,2017
25443,casual,Tales From The Dragon Mountain 2: The Lair,"casual,point & click","single-player,steam cloud",6.99,False,276460,Cateia Games,2014
1914,casual,Redneck Racers,"casual,racing",,2.99,False,288730,"Play, Silden",2010
11645,casual,Jam Studio VR - Gigglebellies Song Bundle,casual,"single-player,downloadable content,in-app purchases,partial controller support",9.99,False,769010,"Beamz Interactive, Inc.",2017
18273,"casual,free to play,indie,strategy",Think To Die,"free to play,indie,casual,strategy,puzzle,3d platformer","single-player,steam achievements,steam trading cards,partial controller support",Free,False,533690,Felip Guimerà,2016
15259,action,Battlezone - Flame Neon (Skin),action,"single-player,online multi-player,online co-op,downloadable content,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",0.99,False,594440,Rebellion,2017
14535,"action,adventure,casual,indie,strategy",Super Hardcore,"casual,strategy,action,adventure,indie","single-player,steam achievements",0.99,False,647050,.ez Games,2017
20627,"casual,simulation",Rocksmith® 2014 – The Offspring Song Pack II,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",11.99,False,390445,Ubisoft - San Francisco,2016
17125,"adventure,indie",The Little Acre - Digital Art Book,"adventure,indie","single-player,downloadable content",Free,False,554340,Pewter Games Studios,2016
25185,"action,adventure,indie,rpg",Consortium Soundtrack and Discoveries,"action,adventure,rpg,indie","single-player,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud",,False,298810,Interdimensional Games Inc,2014
24775,"action,indie,rpg",Super Trench Attack!,"action,rpg,indie,world war i,comedy,singleplayer,isometric,pixel graphics,shooter,retro,2d,funny","single-player,steam achievements,full controller support,steam trading cards,captions available,steam cloud,steam leaderboards",4.99,False,311870,Retro Army Limited,2014
15620,"adventure,casual",Nightmare Adventures: The Turning Thorn,"casual,adventure",single-player,6.99,False,622620,Ghost Ship Studios,2017
16825,"action,casual,free to play,indie",Kitten Squad,"free to play,indie,casual,action","single-player,local multi-player,co-op,local co-op,shared/split screen,full controller support",Free To Play,False,547820,SAGENCY,2017
8819,action,SAMURAI WARRIORS: Spirit of Sanada - Additional Weapons Set 1,action,"single-player,downloadable content,steam achievements,partial controller support,steam cloud",0.99,False,595751,"KOEI TECMO GAMES CO., LTD.",2017
16890,"casual,simulation",Stern Pinball Arcade: Star Trek,"casual,simulation","single-player,local multi-player,downloadable content,steam achievements,full controller support,steam cloud",9.99,False,569241,"FarSight Studios, Inc.",2016
24420,"action,adventure",Disney Alice in Wonderland,"adventure,action,family friendly,female protagonist","single-player,shared/split screen,full controller support,steam cloud",19.99,False,316030,Etranges Libellules Studios,2010
4761,"casual,simulation",Rocksmith® 2014 – Thirty Seconds to Mars - “Kings and Queens”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",2.99,False,390426,Ubisoft - San Francisco,2016
7544,"adventure,indie",Bad Dream: Coma,"adventure,indie,horror,point & click,gore,atmospheric,hand-drawn",single-player,8.99,False,538070,Desert Fox,2017
15112,"action,adventure,indie",Caveblazers Soundtrack,"action,adventure,indie","single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam leaderboards",1.99,False,641430,Rupeck Games,2017
24713,"adventure,casual,simulation",Flower Shop: Winter In Fairbrook,"visual novel,otome,simulation,casual,adventure,female protagonist,dating sim,anime,romance","single-player,steam achievements,steam trading cards,partial controller support,steam cloud",14.99,False,311680,Winter Wolves,2011
25745,"action,adventure",Saints Row IV - How the Saints Save Christmas,"action,adventure","single-player,co-op,downloadable content,steam achievements,full controller support,steam trading cards,steam cloud",3.99,False,247303,Deep Silver Volition,2013
4936,"action,indie",Level 22: Gary’s Misadventure - 2016 Edition,"action,indie,stealth","single-player,steam achievements,full controller support,steam trading cards,steam cloud",6.99,False,431290,Moving Player,2016
25749,strategy,Wargame: AirLand Battle - Magna Carta DLC,strategy,"single-player,multi-player,downloadable content,steam achievements,captions available,steam cloud,stats",,False,260850,Eugen Systems,2013
25633,"casual,simulation",Rocksmith® 2014 – 9mm Parabellum Bullet - “Punishment”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,partial controller support,steam cloud,steam leaderboards",2.99,False,271421,Ubisoft - San Francisco,2014
7103,"indie,rpg,strategy",Fantasy Grounds - Ultimate NPCs: Skullduggery (PFRPG),"strategy,rpg,indie","multi-player,co-op,cross-platform multiplayer,downloadable content",14.99,False,551310,"SmiteWorks USA, LLC",2016
21590,"adventure,casual,indie",Refunct,"parkour,relaxing,3d platformer,great soundtrack,short,casual,indie,first-person,singleplayer,atmospheric,platformer,colorful,adventure,open world,puzzle-platformer,exploration,puzzle,family friendly,cute","single-player,steam achievements,full controller support,steam trading cards,steam cloud",2.99,False,406150,Dominique Grieshofer,2015
20581,"adventure,casual,free to play,massively multiplayer,rpg",Lucent Heart,"free to play,anime,massively multiplayer,rpg,adventure,mmorpg,casual,nudity","mmo,steam trading cards",Free to Play,False,283060,Playcoo,2016
22323,"action,indie",Diadra Empty,"action,indie,bullet hell,shoot em up,anime","single-player,steam achievements,stats,steam leaderboards",5.99,False,284220,Frozen Orb,2015
26932,action,Saints Row: The Third Witches &amp; Wieners Pack,action,"single-player,co-op,downloadable content,steam achievements,partial controller support,steam cloud",2.99,False,55392,Volition,2012
26735,action,Resident Evil: Operation Raccoon City - Power Weapons Pack,action,"single-player,multi-player,co-op,downloadable content",1.99,False,210015,Slant Six Games,2012
19511,"action,casual,indie",Star Drifter,"indie,casual,action,shoot em up","single-player,steam trading cards",0.99,False,485330,"Nostalgia Hound,PiGravity",2016
17157,"action,indie,early access",Zone of Lacryma,"early access,indie,action,pixel graphics,shoot em up,shooter,story rich","single-player,steam achievements,full controller support,steam leaderboards",4.99,True,496540,oophok,2016
13801,action,WARRIORS ALL-STARS: Marie Rose-themed costume for Plachta,action,"single-player,downloadable content,steam achievements,steam trading cards,partial controller support",1.99,False,658275,"KOEI TECMO GAMES CO., LTD.",2017
4325,"racing,simulation,sports",MX vs. ATV Supercross Encore,"racing,sports,simulation,offroad,multiplayer,third person","single-player,multi-player,steam achievements,partial controller support,steam cloud,steam leaderboards",29.99,False,282050,"Rainbow Studios,THQ Nordic",2015
1183,"action,adventure",Tomb Raider: Fisherman,"action,adventure","single-player,multi-player,downloadable content",0.99,False,208793,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
36,"action,adventure",Sam &amp; Max 102: Situation: Comedy,"adventure,action",single-player,19.99,False,8210,Telltale Games,2006
20442,"indie,rpg,strategy",Fantasy Grounds - Top-Down Tokens - Darkwoulfe's Token Pack Vol 9,"strategy,rpg,indie","multi-player,co-op,cross-platform multiplayer,downloadable content",4.99,False,450098,"SmiteWorks USA, LLC",2016
18887,simulation,FSX: Steam Edition - Farm Strips Vol 1: South East England Add-On,simulation,"single-player,multi-player,downloadable content,partial controller support",9.99,False,433747,Neil Birch,2016
11523,"action,adventure,indie,early access",Bud Spencer &amp; Terence Hill - Slaps And Beans,"early access,indie,action,adventure,beat em up,pixel graphics,arcade,retro,2d fighter","single-player,local multi-player,local co-op,partial controller support,steam leaderboards",19.99,True,564050,Trinity Team srls,2017
10992,"adventure,indie,rpg,early access",Meriwether: An American Epic,"early access,adventure,rpg,indie",single-player,14.99,True,566690,Sortasoft LLC,2017
23218,"indie,rpg,strategy",Fantasy Grounds - D&amp;D Complete Core Class Pack,"rpg,indie,strategy,utilities,turn-based,fantasy,story rich,online co-op,software,party-based rpg","multi-player,co-op,cross-platform multiplayer,downloadable content",29.99,False,360090,"SmiteWorks USA, LLC",2015
4170,indie,Eaten Alive,"indie,zombies,pixel graphics,point & click,survival,rpgmaker,female protagonist,adventure","single-player,steam trading cards",0.99,False,403560,Space Cat Studios,2015
8999,"indie,rpg,strategy",Fantasy Grounds - Orc Town: Orc Village (Map Pack),"strategy,rpg,indie","multi-player,co-op,cross-platform multiplayer,downloadable content",2.99,False,638620,"SmiteWorks USA, LLC",2017
7308,"action,casual,indie",The Night Christmas Ended - Soundtrack,"action,indie,casual","single-player,local co-op,shared/split screen,downloadable content,partial controller support",1.99,False,565070,Giant Goblin Studio,2016
1172,"action,indie",Retro/Grade,"indie,action,rhythm,music,shoot em up,sci-fi,retro,arcade,great soundtrack","single-player,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",9.99,False,222660,24 Caret Games,2013
11282,"animation &amp,modeling,design &amp,illustration,education,software training,utilities",Leadwerks Game Engine - The Zone,"design & illustration,utilities,animation & modeling,education,software training,game development","single-player,downloadable content,steam workshop,partial controller support,includes level editor",19.99,False,430061,Leadwerks Software,2017
26169,"action,indie",Element4l,"indie,platformer,action,atmospheric,great soundtrack,puzzle,difficult,casual,singleplayer,2d","single-player,steam achievements,steam trading cards,partial controller support,steam leaderboards",8.99,False,235820,I-Illusions,2013
26833,simulation,Train Simulator: GP9 Loco Add-On,"simulation,trains,open world,sandbox,physics,atmospheric,realistic,family friendly,trackir","single-player,downloadable content,steam achievements,partial controller support,steam cloud,steam leaderboards",8.99,False,208371,Dovetail Games,2012
17917,"casual,indie",Bad Sector HDD,"indie,casual","single-player,steam achievements,steam trading cards",0.99,False,531910,Dan Ruscoe,2015
14278,"action,indie",Galaxy Annihilation,"action,indie,space,aliens,shoot em up","single-player,steam achievements,full controller support,steam leaderboards",2.99,False,673230,Lunarhellgames,2017
26292,"casual,simulation",Rocksmith - The Cure - The End of the World,"casual,simulation","single-player,shared/split screen,downloadable content",2.99,False,222105,Ubisoft - San Francisco,2013
11354,"rpg,strategy",位面穿越者-三国传-进化(A Bit Crosser-Three Kingdoms-Revolution),"rpg,strategy","single-player,downloadable content",0.99,False,768010,singi,2017
21953,"casual,indie,sports",Unfair Jousting Fair,"sports,indie,casual,local multiplayer","single-player,local multi-player,shared/split screen,steam achievements,full controller support,steam trading cards",4.99,False,377550,Rodaja,2015
17063,"adventure,massively multiplayer,rpg",Riders of Icarus: Legendary Ranger's Fury Package,"adventure,rpg,massively multiplayer","single-player,multi-player,online multi-player,mmo,downloadable content,steam trading cards,in-app purchases",44.99,False,565002,WeMade,2016
12017,"action,adventure,indie",Super Trashforce Artworks,"action,adventure,indie","single-player,downloadable content,steam achievements,commentary available",0.99,False,720720,Crystal Box Team,2017
7151,"adventure,indie",Edna &amp; Harvey: The Breakout Soundtrack,"adventure,indie","downloadable content,steam achievements,steam trading cards,steam cloud,commentary available",2.99,False,558190,Daedalic Entertainment,2016
159,casual,Samantha Swift and the Golden Touch,"casual,hidden object,adventure,female protagonist",single-player,9.99,False,16060,MumboJumbo,2009
5055,"casual,indie,racing",OutDrive,"racing,indie,retro,1980s,casual,music,great soundtrack","single-player,steam trading cards,partial controller support",2.99,False,441870,Denver Productions,2016
579,"adventure,strategy,rpg,indie",Delve Deeper: Treasures and Tunnels,"strategy,adventure,rpg,indie","single-player,multi-player,downloadable content,partial controller support",0.99,False,63802,Lunar Giant,2011
4856,"casual,free to play,massively multiplayer,sports,strategy",Full Tilt Poker,"free to play,massively multiplayer,sports,casual,strategy,gambling,card game","single-player,multi-player",,False,426560,Rational Social Projects Limited,2016
603,action,"Warhammer 40,000: Space Marine","warhammer 40k,action,third-person shooter,sci-fi,third person,multiplayer,gore,singleplayer,shooter,hack and slash,dystopian,adventure,co-op,games workshop,atmospheric,story rich,online co-op,controller,futuristic,great soundtrack","single-player,multi-player,steam achievements,full controller support,steam leaderboards",29.99,False,55150,Relic,2011
17450,action,Twixel,"action,difficult","single-player,steam achievements,steam trading cards,partial controller support,steam cloud",3.99,False,528770,Caesoose Studios,2016
9893,"casual,indie",The Dew,"minimalist,atmospheric,puzzle,abstract,story rich,indie,singleplayer,casual,2d,difficult,grid-based movement,lore-rich,philisophical","single-player,steam achievements",4.99,False,692950,ZZICON,2017
16575,"action,free to play,indie",Line of Sight,"free to play,fps,action,multiplayer,shooter,gun customization,first-person,military,open world,singleplayer,character customization,zombies,survival,war,controller,strategy,co-op,competitive,adventure,indie","multi-player,online multi-player,steam achievements,in-app purchases,valve anti-cheat enabled,stats",Free To Play,False,436520,BlackSpot Entertainment,2017
20544,"casual,simulation",Rocksmith® 2014 – A Perfect Circle - “The Outsider”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",2.99,False,390451,Ubisoft - San Francisco,2016
4735,action,GGXrd Character Unlock - LEO WHITEFANG,action,"single-player,multi-player,downloadable content,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",1.99,False,419472,Arc System Works,2016
6694,indie,The Making of Slightly Magic Book - pdf,indie,"single-player,downloadable content,full controller support",4.99,False,520580,Colin Jones &amp; The Potassium Frog,2016
2287,"casual,simulation",Rocksmith® 2014 – Biffy Clyro - “Black Chandelier”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",2.99,False,294972,Ubisoft - San Francisco,2014
17781,"adventure,strategy",Yomawari: Night Alone / 夜廻,"adventure,horror,cute,female protagonist,great soundtrack,anime,strategy,singleplayer,2d","single-player,steam achievements,full controller support,steam trading cards,steam cloud",19.99,False,477870,"Nippon Ichi Software, Inc.",2016
20573,"indie,strategy",Sentinels of the Multiverse - Soundtrack (Volume 4),"strategy,indie","single-player,multi-player,co-op,shared/split screen,cross-platform multiplayer,downloadable content,steam achievements,steam trading cards,steam cloud",4.99,False,443440,Handelabra Games Inc.,2016
24217,"action,racing,sports",Quantum Rush Champions Original Soundtracks,"action,racing,sports","single-player,downloadable content",3.99,False,330690,GameArt Studio GmbH,2014
12026,indie,Insects runner,indie,single-player,0.99,False,749600,Primitive Studio,2017
16752,"action,adventure,casual,indie,early access",Bearslayer,"early access,casual,action,indie,adventure","single-player,steam achievements,full controller support,steam trading cards,steam cloud",9.99,True,460210,bool games;,2017
11254,"adventure,casual,indie",Smart Junior Academy - Spring,"adventure,indie,casual",single-player,8.99,False,755360,Format,2017
11473,"action,adventure,casual,indie",Achievement Hunter: Zombie 3,"action,adventure,indie,casual","single-player,steam achievements",,False,765990,putilin_industries,2017
19480,"action,racing",TRON RUN/r Original Soundtrack,"action,racing","single-player,downloadable content,steam achievements,in-app purchases,partial controller support",5.99,False,486770,Sanzaru Games Inc.,2016
11403,"action,adventure,casual,indie,rpg,simulation",Dracula's Library 2,"action,adventure,rpg,indie,casual,simulation",single-player,0.99,False,765300,G. Malta,2017
10590,"casual,indie,racing",Food Hunter,"indie,casual,racing","single-player,steam achievements",1.99,False,721970,DayByDay Studio,2017
8449,"animation &amp,modeling,design &amp,illustration,education,software training,utilities,web publishing",AppGameKit - GameGuru Loader,"game development,design & illustration,animation & modeling,software training,education,web publishing,utilities,gamemaker,software,fps,shooter,indie,vr,simulation,strategy,action,multiplayer,games workshop,rpgmaker,soundtrack",downloadable content,39.99,False,623270,The Game Creators,2017
3876,"action,indie",Horizon Shift Demo,"action,indie","single-player,game demo,steam achievements,full controller support,steam trading cards",,False,394190,Flump Studios,2015
8808,"design &amp,illustration,web publishing",RPG Maker MV - Seraph Circle Sideview Battler Pack 1,"design & illustration,web publishing","downloadable content,steam trading cards,partial controller support",9.99,False,646550,"KADOKAWA,Yoji Ojima",2017
26943,"strategy,indie",Oil Rush OST,"strategy,indie",downloadable content,1.99,False,200397,Unigine Corp.,2012
11675,"action,massively multiplayer",Sky Hunter - KA-50,"massively multiplayer,action,moba,co-op,war,shooter,pvp,third-person shooter,online co-op,military,competitive,multiplayer,flight","multi-player,online multi-player,co-op,online co-op,downloadable content,steam achievements,full controller support,steam trading cards",0.99,False,731630,Codex7,2017
23435,"adventure,indie,massively multiplayer,rpg,strategy",AoF World Online,"indie,rpg,massively multiplayer,adventure,strategy,mmorpg,fantasy,futuristic","single-player,multi-player,mmo,steam achievements,steam trading cards,steam workshop,steam cloud,includes level editor",4.99,False,339860,NSE Circuit,2015
19683,"action,free to play,indie,strategy",New Player Bundle,"strategy,action,indie,free to play","single-player,multi-player,downloadable content",9.99,False,463901,"Wicked Fun, Inc.",2016
24673,early access,Colossal Kaiju Combat™: Kaijuland Battles,"early access,fighting,multiplayer","single-player,multi-player,full controller support",4.99,True,290810,"Sunstone Games, LLC.",2014
13853,"casual,indie,simulation",Business-hooiznes,"indie,casual,simulation","single-player,steam achievements",0.99,False,683220,"Nikita ""Ghost_RUS"",Underanger TheGachiWarrior",2017
1564,"casual,simulation",Rocksmith® 2014 – Alice in Chains - “Man in the Box”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",2.99,False,258358,Ubisoft - San Francisco,2013
13913,"casual,indie,strategy",Lightwire,"indie,casual,strategy,puzzle",single-player,9.99,False,686000,nonPareil Studios,2017
2760,"action,indie",Geometry Dash,"difficult,great soundtrack,music,level editor,2d,rhythm,colorful,singleplayer,platformer,character customization,arcade,indie,action,side scroller,funny,family friendly,casual,strategy,adventure,multiplayer","single-player,steam achievements,steam trading cards,partial controller support,includes level editor",3.99,False,322170,RobTop Games,2014
26766,action,Gotham City Impostors Free to Play: Cowboy Costume,action,"multi-player,downloadable content,steam achievements,steam cloud,valve anti-cheat enabled,stats,steam leaderboards",3.99,False,216446,"Monolith Productions, Inc.",2012
21367,"action,casual,indie,strategy",Conflicks - Revolutionary Space Battles,"strategy,indie,action,casual,space,multiplayer,singleplayer,physics,adventure,funny,co-op,fast-paced,sci-fi,competitive,rts,2d","single-player,multi-player,steam achievements,steam trading cards,steam cloud,steam leaderboards",6.99,False,288260,Artifice Studio,2015
24843,racing,4x4 Dream Race,racing,single-player,4.99,False,313330,Dream Up,2011
13400,"casual,indie",Geometry World,"indie,casual","single-player,steam achievements",0.99,False,685120,Eder Gabriel,2017
14773,simulation,TS Marketplace: Metronom Scenario Pack Add-On,simulation,"single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam workshop,steam cloud,steam leaderboards",9.99,False,500219,Trains &amp; Drivers,2017
10207,"action,adventure,casual,indie",Beetlejuice: Bad as Can,"action,adventure,indie,casual","single-player,partial controller support",9.99,False,692630,TAS Systems,2017
19790,"casual,free to play",Worm.is: The Game,"free to play,multiplayer,casual,funny,strategy,2d,action,co-op,competitive,online co-op,arcade,illuminati,3d vision,simulation","multi-player,cross-platform multiplayer,in-app purchases",Free To Play,False,466910,Freakinware Studios,2016
17032,simulation,FSX Steam Edition: AH-64D Apache Longbow™ Add-On,simulation,"single-player,multi-player,downloadable content,partial controller support",17.99,False,500232,Virtavia,2016
7516,"action,adventure,indie,simulation",Infinitum - Soundtracks,"action,adventure,indie,simulation","single-player,downloadable content",1.99,False,574770,VGstudio,2017
25046,"action,adventure,indie",ibb &amp; obb,"co-op,indie,puzzle,local co-op,platformer,adventure,online co-op,cute,action,multiplayer,puzzle-platformer,2d,great soundtrack,casual,difficult,family friendly","multi-player,co-op,shared/split screen,cross-platform multiplayer,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",11.99,False,95400,"Sparpweed,Codeglue",2014
5048,strategy,Talisman: The Horus Heresy Soundtrack,strategy,"single-player,multi-player,co-op,downloadable content,steam achievements,steam trading cards,steam cloud,steam leaderboards",6.99,False,442820,Nomad Games,2016
21203,"adventure,casual,free to play,indie,simulation",Emily is Away,"free to play,story rich,singleplayer,indie,simulation,choices matter,interactive fiction,casual,retro,choose your own adventure,visual novel,dating sim,pixel graphics,romance,adventure,short,2d,funny,text-based,illuminati","single-player,steam achievements,steam trading cards",Free to Play,False,417860,Kyle Seeley,2015
14987,"animation &amp,modeling,design &amp,illustration,utilities",Dream Frontiers Environment Pack,"design & illustration,utilities,animation & modeling",downloadable content,12.99,False,647620,BrashMonkey,2017
3057,"adventure,indie,rpg",StarCrawlers Soundtrack,"adventure,rpg,indie","single-player,downloadable content",5.99,False,352021,Juggernaut Games,2015
26119,"racing,simulation,sports",MotoGP™13,"racing,sports,simulation,multiplayer","single-player,multi-player,steam achievements,full controller support,steam cloud",9.99,False,240600,Milestone S.r.l.,2013
10076,"action,adventure,indie,early access",Attack Of Insects,"early access,action,indie,adventure",single-player,0.99,True,707400,BadWolf Games,2017
16619,"indie,rpg,strategy",Eador. Imperium,"strategy,indie,rpg,turn-based,turn-based strategy","single-player,steam achievements,steam trading cards,steam cloud,includes level editor",19.99,False,477730,Snowbird Games,2017
20186,simulation,TANE DLC: C&amp;O 2-6-6-6 H8 - New River Mining Coal Run,simulation,"single-player,multi-player,cross-platform multiplayer,downloadable content",19.99,False,453200,N3V Games,2016
48,casual,PuzzleQuest: Challenge of the Warlords,"puzzle,casual,match 3,rpg,fantasy,2d,strategy,singleplayer,anime,indie,touch-friendly","single-player,multi-player,steam cloud",9.99,False,12500,Infinite Interactive,2007
9928,"action,casual,indie,early access",Press and Jump,"early access,action,indie,casual","single-player,steam achievements",0.99,True,697940,Limed,2017
22761,indie,Ongaku Triangle Pack,indie,"single-player,downloadable content,full controller support",0.99,False,369960,SmashMouth Games Ltd,2015
2267,"action,indie,strategy",Selknam Defense,"strategy,tower defense,indie,action,adventure","single-player,steam achievements,full controller support,steam cloud,steam leaderboards",4.99,False,306260,,2014
7585,strategy,Commands &amp; Colors: The Great War,"strategy,world war i,board game","single-player,local multi-player,shared/split screen,steam achievements",19.99,False,449460,HexWar Games,2017
26880,action,Street Fighter X Tekken: M.Bison (Swap Costume),action,"single-player,multi-player,downloadable content",0.99,False,210046,"Capcom U.S.A., Inc.",2012
14440,"design &amp,illustration,web publishing",SMILE GAME BUILDER A Healer Only Lives Twice Character Resource Pack,"design & illustration,web publishing","downloadable content,partial controller support",19.99,False,649690,Pon Pon Games,2017
21397,"indie,rpg",Dragon Fin Soup,"rpg,indie,rogue-like,female protagonist,adventure,fantasy,procedural generation,grid-based movement,kickstarter,magic,turn-based,singleplayer","single-player,full controller support",19.99,False,299600,"Grimm Bros, LLC",2015
27179,"indie,strategy",Achron,"strategy,indie,time travel,rts,multiplayer,time manipulation,sci-fi,moddable","single-player,multi-player",19.99,False,109700,Hazardous Software Inc.,2011
15562,rpg,False Shelter,"rpg,rpgmaker","single-player,steam trading cards",0.99,False,621150,Amaterasu Software,2017
4748,"adventure,casual",New York Mysteries: High Voltage Demo,"adventure,casual","single-player,game demo,steam achievements,steam cloud",,False,430430,FIVE-BN GAMES,2016
13389,simulation,Train Simulator: BR Class 419 MLV BEMU Add-On,simulation,"single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam workshop,steam cloud,steam leaderboards",19.99,False,621924,Dovetail Games,2017
1205,simulation,Train Simulator: Southeastern Class 465 EMU Add-On,"simulation,trains,open world,realistic,atmospheric,family friendly,sandbox,trackir,singleplayer,driving,building,casual,co-op,level editor,flight,city builder,physics,moddable","single-player,downloadable content,steam achievements,full controller support,steam cloud,steam leaderboards",19.99,False,222576,Dovetail Games,2013
15762,"simulation,strategy",Stellaris: Galaxy Edition Upgrade Pack,"strategy,simulation","single-player,multi-player,cross-platform multiplayer,downloadable content,steam achievements,steam workshop,steam cloud",30.0,False,616191,Paradox Development Studio,2017
65,casual,Mystery P.I.™ - The Vegas Heist,"casual,hidden object",single-player,4.99,False,3520,SpinTop Games,2008
11588,"action,free to play,massively multiplayer,racing",Crossout - Frostburn Pack,"action,free to play,massively multiplayer,racing","multi-player,online multi-player,mmo,co-op,online co-op,downloadable content,steam achievements,full controller support,steam trading cards,in-app purchases",39.99,False,764460,Targem Games,2017
20416,"action,adventure",Far Cry® Primal,"open world,survival,action,adventure,hunting,first-person,singleplayer,crafting,fps,exploration,atmospheric,stealth,shooter,mature,sandbox,action rpg,rpg,co-op,strategy,third person","single-player,steam trading cards,partial controller support",49.99,False,371660,Ubisoft,2016
15348,"action,indie","Rock, Ken, Bo","action,indie","single-player,multi-player,local multi-player,shared/split screen,steam trading cards,partial controller support,steam cloud",3.99,False,619480,Xelphyre Games,2017
10338,"adventure,casual,indie,racing,simulation,sports,early access",Qbike: Crypto Motorcycles,"early access,casual,adventure,indie,simulation,racing,sports","multi-player,online multi-player,online co-op,cross-platform multiplayer,steam achievements,full controller support,steam leaderboards",5.99,True,713610,GexagonVR,2017
